"","iconic_taxon_name","scientific_name","n"
"1","Plantae","Lagerstroemia indica",2
"2","Insecta","Contarinia constricta",18
"3","Chromista","Amphora ovalis",2
"4","Insecta","Philorhizus melanocephalus",4
"5","Fungi","Rhizosphaera pini",1
"6","Mollusca","Flabellinopsis iodinea",1
"7","Plantae","Metzgeria violacea",24
"8","Plantae","Asterococcus limneticus",4
"9","Animalia","Geophilus flavus",10
"10","Protozoa","Difflugia acutissima",1
"11","Fungi","Myxospora masonii",1
"12","Insecta","Earomyia melnickae",9
"13","Fungi","Entyloma flavoluteum",2
"14","Fungi","Peristemma pseudosphaeria",2
"15","Insecta","Lasiopogon yukonensis",1
"16","Chromista","Macrocystis tenuifolia",9
"17","Plantae","Malus ioensis",6
"18","Insecta","Hadromorphus callidus",2
"19","Fungi","Uromyces unitus",4
"20","Plantae","Rubus heterophyllus",7
"21","Actinopterygii","Sebastes goodei",2
"22","Fungi","Lachnum gaultheriae",13
"23","Insecta","Bembidion timidum",4
"24","Plantae","Diplophyllum apiculatum",1
"25","Insecta","Cantharis lateralis",2
"26","Insecta","Selatosomus aeneus",10
"27","Chromista","Wilsoniana portulacae",1
"28","Insecta","Hydroporus subpubescens",2
"29","Insecta","Agabus smithi",2
"30","Insecta","Mesorhaga flavipes",1
"31","Plantae","Solenostoma crenuliforme",1
"32","Animalia","Entobdella hippoglossi",2
"33","Plantae","Blephilia hirsuta",5
"34","Animalia","Eubosmina longispina",30
"35","Insecta","Protosialis americana",1
"36","Fungi","Chromelosporium ochraceum",1
"37","Insecta","Scaphoideus ochraceus",4
"38","Protozoa","Diacheopsis metallica",5
"39","Insecta","Gerris pingreensis",3
"40","Plantae","Stenogramma interruptum",4
"41","Protozoa","Lamproderma acanthosporum",4
"42","Chromista","Plagiopyla nasuta",1
"43","Plantae","Cuscuta palaestina",1
"44","Fungi","Paragaeumannomyces longisporus",1
"45","Fungi","Stachycoremium parvulum",2
"46","Insecta","Autographa gamma",1
"47","Plantae","Acmella oleracea",4
"48","Insecta","Parabacillus hesperus",9
"49","Plantae","Bistorta amplexicaulis",3
"50","Fungi","Mycena fuliginella",2
"51","Insecta","Melitara subumbrella",3
"52","Fungi","Phyllactinia elaeagni",3
"53","Fungi","Erysiphe ravenelii",1
"54","Actinopterygii","Bothus ocellatus",1
"55","Plantae","Ulota drummondii",5
"56","Fungi","Erysiphe rayssiae",6
"57","Fungi","Erysiphe eschscholziae",18
"58","Arachnida","Halorates alascensis",5
"59","Insecta","Metanotalia maderensis",1
"60","Insecta","Paracantha gentilis",7
"61","Actinopterygii","Caranx bartholomaei",3
"62","Fungi","Agaricus braendlei",8
"63","Fungi","Merismodes monacha",1
"64","Plantae","Chlamydomonas globosa",1
"65","Fungi","Erysiphe parmeleeana",2
"66","Fungi","Phyllactinia orbicularis",3
"67","Chromista","Isthmochloron lobulatum",1
"68","Chromista","Gonyostomum semen",1
"69","Fungi","Amanita persicina",1
"70","Insecta","Eremocoris depressus",1
"71","Insecta","Centrocoris volxemi",2
"72","Insecta","Ripiphorus californicus",2
"73","Chromista","Propyxidium tardigradum",3
"74","Chromista","Spirostomum semivirescens",1
"75","Fungi","Chlorociboria aeruginella",2
"76","Aves","Setophaga graciae",12
"77","Insecta","Atheta novaescotiae",1
"78","Insecta","Agrilus osburni",1
"79","Insecta","Plateros bispiculatus",1
"80","Fungi","Favolus pseudobetulinus",2
"81","Plantae","Hydrangea quercifolia",5
"82","Animalia","Parakontikia ventrolineata",10
"83","Chromista","Pseudoblepharisma tenue",1
"84","Insecta","Phloeodes diabolicus",1
"85","Insecta","Zaitzevia parvula",2
"86","Insecta","Amara bifrons",1
"87","Animalia","Leucothea multicornis",1
"88","Animalia","Oxycephalus clausi",1
"89","Chromista","Metopus es",1
"90","Chromista","Acineria uncinata",1
"91","Insecta","Alloblackburneus lentus",1
"92","Insecta","Elaphropus tripunctatus",1
"93","Insecta","Trogoxylon parallelipipedum",2
"94","Insecta","Melanotus testaceus",1
"95","Plantae","Elymus scribneri",5
"96","Protozoa","Planocarina marginata",1
"97","Chromista","Chrysocapsa paludosa",2
"98","Fungi","Tetracladium marchalianum",3
"99","Fungi","Caliciopsis arceuthobii",4
"100","Insecta","Phytomyza pulsatillae",1
"101","Arachnida","Pellenattus shoshonensis",3
"102","Insecta","Hemipenthes inops",4
"103","Fungi","Pronectria echinulata",1
"104","Protozoa","Physarella oblonga",1
"105","Actinopterygii","Maurolicus weitzmani",1
"106","Mollusca","Puncturella multistriata",2
"107","Animalia","Haplocampa wagnelli",4
"108","Insecta","Ilybius discors",2
"109","Animalia","Einhornia moskvikvendi",3
"110","Plantae","Lophocolea bicuspidata",1
"111","Fungi","Harzia acremonioides",1
"112","Insecta","Paracladura trichoptera",1
"113","Arachnida","Drassyllus insularis",1
"114","Insecta","Cicindela parowana",7
"115","Insecta","Xanthotype attenuaria",2
"116","Insecta","Ceroplastes rusci",2
"117","Plantae","Hemerocallis minor",1
"118","Insecta","Scathophaga frigida",1
"119","Plantae","Iris tenax",4
"120","Insecta","Hyssopus thymus",6
"121","Arachnida","Clubiona spiralis",1
"122","Insecta","Argyra calcitrans",1
"123","Insecta","Aedes aurifer",12
"124","Chromista","Spongomonas intestinalis",1
"125","Fungi","Mycena subsanguinolenta",3
"126","Animalia","Aporrectodea trapezoides",8
"127","Insecta","Isoperla dicala",4
"128","Insecta","Isoperla frisoni",3
"129","Insecta","Cyrtolobus gratiosus",2
"130","Insecta","Telamona collina",2
"131","Insecta","Belomicrus forbesii",1
"132","Insecta","Dolichopus longipennis",1
"133","Insecta","Cyclocephala longula",2
"134","Insecta","Xanthochilus saturnius",1
"135","Insecta","Scellus exustus",1
"136","Insecta","Eumetopiella rufipes",1
"137","Mollusca","Ennucula tenuis",2
"138","Plantae","Salix gaspensis",8
"139","Fungi","Exoteliospora osmundae",1
"140","Insecta","Astylidius parvus",2
"141","Plantae","Sphaerocystis schroeteri",3
"142","Insecta","Diglyphus websteri",1
"143","Insecta","Alebra rubrafrons",1
"144","Plantae","Rubus rolfei",4
"145","Insecta","Etorofus vitiosus",4
"146","Insecta","Aradus intectus",1
"147","Insecta","Attalus morulus",1
"148","Insecta","Physokermes hemicryphus",1
"149","Fungi","Hymenoscyphus vasaensis",1
"150","Insecta","Anusia nasicornis",2
"151","Chromista","Paulinella chromatophora",2
"152","Plantae","Radiofilum mesomorphum",1
"153","Protozoa","Symphytocarpus herbaticus",1
"154","Plantae","Amelanchier nantucketensis",4
"155","Insecta","Formica vinculans",4
"156","Insecta","Amara aurata",1
"157","Animalia","Hormathia digitata",9
"158","Insecta","Cicindela fulgida",32
"159","Plantae","Pikea pinnata",1
"160","Fungi","Phyllachora lespedezae",1
"161","Arachnida","Rhombognathides seahami",1
"162","Arachnida","Thalassarachna capuzina",1
"163","Actinopterygii","Poecilia reticulata",1
"164","Insecta","Sympistis simplex",3
"165","Insecta","Pedicia magnifica",2
"166","Plantae","Crataegus cupressocollina",8
"167","Animalia","Leodice valens",2
"168","Chromista","Diaxonella pseudorubra",1
"169","Fungi","Dasyscyphus castaneus",2
"170","Plantae","Gonatozygon aculeatum",1
"171","Insecta","Flexamia delongi",1
"172","Fungi","Erysiphe schweinitziana",1
"173","Arachnida","Cybaeina minuta",2
"174","Fungi","Erysiphe guarinonii",2
"175","Insecta","Limotettix urnura",2
"176","Actinopterygii","Chaetodon capistratus",3
"177","Protozoa","Symphytocarpus macrosporus",1
"178","Insecta","Chrysanthrax vanus",8
"179","Fungi","Phyllactinia oemleriae",2
"180","Fungi","Phyllactinia holodisci",3
"181","Arachnida","Wubana suprema",1
"182","Plantae","Gladiolus murielae",2
"183","Fungi","Pithyella hispida",2
"184","Fungi","Lasiosphaeria sorbina",1
"185","Insecta","Polymerus cognatus",1
"186","Chromista","Rhinothrix porculus",1
"187","Insecta","Dicranomyia immodesta",4
"188","Reptilia","Indotyphlops braminus",1
"189","Aves","Paroaria coronata",1
"190","Animalia","Placobdella desseri",1
"191","Insecta","Empis poplitea",2
"192","Fungi","Trabutia quercina",1
"193","Plantae","Oxalis smalliana",3
"194","Insecta","Pissonotus niger",1
"195","Plantae","Cuphea ignea",6
"196","Insecta","Livia junci",4
"197","Chromista","Loxodes striatus",1
"198","Plantae","Tanacetum macrophyllum",1
"199","Fungi","Podosphaera epilobii",9
"200","Fungi","Lamprospora miniata",3
"201","Fungi","Mycena cinerella",2
"202","Plantae","Entodon brevisetus",1
"203","Animalia","Clinostomum marginatum",4
"204","Fungi","Pithyella chalaudii",1
"205","Animalia","Ammothella tuberculata",3
"206","Fungi","Microstrobilinia castrans",2
"207","Aves","Anarhynchus leschenaultii",4
"208","Insecta","Philonthus gracilior",1
"209","Protozoa","Collaria nigricapillitia",3
"210","Fungi","Dennisiella babingtonii",3
"211","Fungi","Entyloma floerkeae",2
"212","Insecta","Aradus depressus",2
"213","Fungi","Trametes villosa",16
"214","Plantae","Trillium sessile",1
"215","Insecta","Tropidacris cristata",3
"216","Insecta","Thamiaraea corverae",1
"217","Insecta","Neophyllura arbuti",1
"218","Plantae","Lilium henryi",1
"219","Protozoa","Diacheopsis serpula",3
"220","Insecta","Phaenopsectra vittata",2
"221","Insecta","Cicadula straminea",1
"222","Insecta","Lionepha erasa",1
"223","Insecta","Bembidion hesperium",1
"224","Insecta","Aglossa furva",5
"225","Plantae","Origanum onites",1
"226","Insecta","Columbicola columbae",2
"227","Chromista","Loxodes magnus",2
"228","Insecta","Nola cereella",10
"229","Insecta","Ellipes gurneyi",57
"230","Insecta","Hockeria rubra",2
"231","Protozoa","Macbrideola cornea",3
"232","Insecta","Phigalia denticulata",1
"233","Fungi","Podosphaera clandestina",3
"234","Fungi","Microstroma album",1
"235","Insecta","Oxybelus cressonii",1
"236","Animalia","Argulus funduli",1
"237","Insecta","Kathroperla takhoma",3
"238","Actinopterygii","Fistularia tabacaria",6
"239","Plantae","Hariotina polychorda",1
"240","Animalia","Chaetonotus arquatus",2
"241","Chromista","Hymenomonas roseola",2
"242","Insecta","Eupelmus pulchriceps",1
"243","Fungi","Erysiphe ludens",5
"244","Fungi","Helotium schimperi",2
"245","Fungi","Erysiphe astragali",1
"246","Insecta","Chasmatonotus bimaculatus",2
"247","Insecta","Dasineura plicatrix",5
"248","Plantae","Musa basjoo",2
"249","Protozoa","Difflugia urceolata",1
"250","Aves","Numenius phaeopus",1
"251","Chromista","Cryptomonas curvata",2
"252","Aves","Pyrrhula pyrrhula",3
"253","Plantae","Berberis japonica",5
"254","Insecta","Anomala cupripes",1
"255","Fungi","Hypotrachyna livida",1
"256","Actinopterygii","Glyptocephalus zachirus",1
"257","Insecta","Scoliocentra maculipennis",1
"258","Animalia","Sminthurides plicatus",4
"259","Plantae","Fuchsia magellanica",4
"260","Insecta","Dryope melanderi",1
"261","Plantae","Veronica agrestis",2
"262","Plantae","Allium giganteum",1
"263","Animalia","Lepidocyrtus lanuginosus",2
"264","Insecta","Macrophya oregona",1
"265","Animalia","Amphimedon trindanea",1
"266","Insecta","Prosternon fallax",1
"267","Chromista","Gyrodinium helveticum",1
"268","Chromista","Cymbella lanceolata",1
"269","Chromista","Chaetoceros lorenzianus",1
"270","Fungi","Luteodiscus hemiamyloideus",1
"271","Insecta","Phymata vicina",1
"272","Insecta","Euura melanocephalus",1
"273","Fungi","Olla millepunctata",4
"274","Chromista","Cystodinium cornifax",1
"275","Arachnida","Paradamoetas fontanus",3
"276","Fungi","Cellypha goldbachii",1
"277","Insecta","Thyreocoris scarabaeoides",2
"278","Insecta","Hydroporus sinuatipes",6
"279","Insecta","Cyrtolobus pictus",1
"280","Insecta","Formica densiventris",3
"281","Insecta","Trissolcus japonicus",1
"282","Insecta","Clytus canadensis",3
"283","Insecta","Selandria serva",1
"284","Animalia","Dicrocoelium dendriticum",4
"285","Mollusca","Ladislavella exilis",1
"286","Arachnida","Eriophyes inangulis",3
"287","Insecta","Cordilura glabra",5
"288","Insecta","Diodontus adamsi",2
"289","Insecta","Masneroma angulifera",2
"290","Mollusca","Diaphana californica",2
"291","Chromista","Tropidoatractus acuminatus",1
"292","Animalia","Haltidytes crassus",1
"293","Insecta","Lasioglossum tegulare",2
"294","Mollusca","Mopalia egretta",1
"295","Animalia","Monocorophium insidiosum",1
"296","Plantae","Elodea bifoliata",5
"297","Animalia","Amynthas tokioensis",1
"298","Insecta","Ulidiotites dakotana",1
"299","Actinopterygii","Trachinocephalus myops",5
"300","Insecta","Sympistis sokar",1
"301","Insecta","Haplothrips subtilissimus",3
"302","Animalia","Oudemansia georgia",23
"303","Animalia","Thalassaphorura debilis",24
"304","Insecta","Caloreas canadensis",1
"305","Mollusca","Facelina auriculata",8
"306","Insecta","Rhopalomyia lignitubus",11
"307","Plantae","Crataegus laurentiana",6
"308","Animalia","Argis alaskensis",1
"309","Plantae","Syringa pubescens",1
"310","Mollusca","Olea hansineensis",1
"311","Insecta","Spodoptera albula",1
"312","Fungi","Amanita volvata",1
"313","Insecta","Thereva fucatoides",3
"314","Insecta","Lophocampa mixta",1
"315","Insecta","Asciodes gordialis",1
"316","Plantae","Gomphocarpus physocarpus",2
"317","Actinopterygii","Lactophrys trigonus",3
"318","Plantae","Calocedrus decurrens",1
"319","Arachnida","Aceria populi",1
"320","Plantae","Ipomoea parasitica",1
"321","Mollusca","Triodopsis hopetonensis",3
"322","Plantae","Betula alpestris",7
"323","Plantae","Euphorbia ophthalmica",1
"324","Plantae","Flueggea suffruticosa",2
"325","Fungi","Peyronelina glomerulata",1
"326","Fungi","Clavariopsis aquatica",1
"327","Insecta","Eucyrtopogon comantis",2
"328","Fungi","Polynema ornatum",1
"329","Insecta","Lonchoptera impicta",1
"330","Chromista","Odontochlamys gouraudi",1
"331","Fungi","Thelebolus caninus",1
"332","Mollusca","Krynickillus melanocephalus",1
"333","Chromista","Spongomonas uvella",2
"334","Insecta","Agonum mutatum",1
"335","Insecta","Rhamphomyia leucoptera",1
"336","Fungi","Pleurothecium recurvatum",1
"337","Insecta","Osmia tersula",1
"338","Fungi","Pseudoclathrosphaerina evamariae",1
"339","Insecta","Sialis hasta",3
"340","Animalia","Synidotea nebulosa",1
"341","Insecta","Erythroneura octonotata",1
"342","Insecta","Agabus oblongulus",3
"343","Insecta","Badister micans",1
"344","Insecta","Syntormon tricoloripes",2
"345","Fungi","Coccomyces arbutifolius",2
"346","Insecta","Cyrtolobus pulchellus",1
"347","Insecta","Wroughtonia occidentalis",1
"348","Fungi","Corniculariella populi",1
"349","Insecta","Magicicada cassinii",1
"350","Insecta","Atimia hoppingi",1
"351","Insecta","Coleocentrus quebecensis",2
"352","Insecta","Menkokia blandii",1
"353","Insecta","Epiblema coracinana",1
"354","Insecta","Maladera holosericea",4
"355","Insecta","Glypta fumiferanae",4
"356","Fungi","Erysiphe clintonii",2
"357","Plantae","Veronica alpina",4
"358","Arachnida","Aceria kraftella",2
"359","Plantae","Gloeotaenium loitlesbergerianum",1
"360","Insecta","Berosus punctatissimus",2
"361","Aves","Hydrobates pelagicus",1
"362","Insecta","Neolasioptera galeopsidis",1
"363","Plantae","Pigea serrata",1
"364","Insecta","Nomada vincta",1
"365","Fungi","Destuntzia purpurea",1
"366","Insecta","Cyrtopogon leptotarsus",3
"367","Insecta","Elatophilus brimleyi",1
"368","Plantae","Impatiens edgeworthii",1
"369","Plantae","Coelastrum indicum",1
"370","Plantae","Geminella ellipsoidea",3
"371","Plantae","Potentilla brunnescens",8
"372","Protozoa","Centropyxis ecornis",1
"373","Insecta","Macrosteles lepidus",4
"374","Actinopterygii","Lutjanus campechanus",6
"375","Fungi","Punctelia reddenda",7
"376","Animalia","Amphitrite ornata",1
"377","Insecta","Dicrotendipes modestus",1
"378","Chromista","Peronospora gei",1
"379","Actinopterygii","Cantherhines pullus",2
"380","Chromista","Mallomonas pseudocoronata",1
"381","Insecta","Exema dispar",1
"382","Plantae","Geranium renardii",2
"383","Chromista","Blepharisma penardi",1
"384","Aves","Emberiza pusilla",1
"385","Insecta","Ephuta scrupea",1
"386","Fungi","Ramalina almquistii",1
"387","Fungi","Trichoderma deliquescens",1
"388","Animalia","Disparalona hamata",1
"389","Fungi","Elaphomyces papillatus",1
"390","Fungi","Puccinia comandrae",3
"391","Insecta","Corisella edulis",1
"392","Plantae","Allium macleanii",1
"393","Animalia","Axius serratus",1
"394","Chromista","Laminaria sinclairii",4
"395","Plantae","Bruchia flexuosa",1
"396","Insecta","Cacopsylla nordica",1
"397","Mollusca","Polygyra cereolus",2
"398","Actinopterygii","Acanthurus chirurgus",3
"399","Fungi","Thelephora botryoides",1
"400","Aves","Geopelia cuneata",2
"401","Fungi","Epibryon interlamellare",3
"402","Fungi","Calogaya pusilla",2
"403","Plantae","Drymocallis rupestris",1
"404","Insecta","Trichopsocus dalii",4
"405","Fungi","Hypocreopsis lichenoides",1
"406","Protozoa","Phacus hispidulus",1
"407","Chromista","Peronospora alta",4
"408","Insecta","Scathophaga nigrolimbata",2
"409","Plantae","Spiraea beauverdiana",1
"410","Animalia","Entomobrya confusa",3
"411","Fungi","Helminthosphaeria stuppea",1
"412","Fungi","Karstenia macra",1
"413","Animalia","Sminthurinus atrapallidus",8
"414","Insecta","Nabis lovetti",1
"415","Actinopterygii","Argyropelecus sladeni",2
"416","Insecta","Gymnaspis aechmeae",1
"417","Fungi","Pyrenopeziza atrata",1
"418","Fungi","Triadelphia corticola",1
"419","Fungi","Rodwayella citrinula",1
"420","Plantae","Hydrogonium amplexifolium",4
"421","Arachnida","Cicurina idahoana",2
"422","Plantae","Orlaya grandiflora",1
"423","Insecta","Tachyta falli",1
"424","Animalia","Squatinella leydigii",1
"425","Insecta","Pterostichus oblongopunctatus",1
"426","Fungi","Orbilia ellipsospora",1
"427","Arachnida","Emblyna maxima",3
"428","Fungi","Daleomyces phillipsii",1
"429","Chromista","Loxophyllum meleagris",1
"430","Insecta","Hyperisus marginicollis",1
"431","Insecta","Phylloxera caryaeavellana",2
"432","Insecta","Languria angustata",1
"433","Insecta","Phengodes fusciceps",1
"434","Insecta","Saissetia oleae",1
"435","Insecta","Macrotylus sexguttatus",1
"436","Protozoa","Lamproderma spinulosporum",1
"437","Fungi","Paragaeumannomyces elegans",1
"438","Mollusca","Tetrarca boucardi",1
"439","Insecta","Bruchophagus gibbus",1
"440","Insecta","Cyrtolobus togatus",1
"441","Chromista","Trigonium quinquelobatum",1
"442","Insecta","Niphonyx segregata",1
"443","Insecta","Chionodes halycopa",1
"444","Plantae","Bryonia alba",2
"445","Insecta","Cyrtopogon varans",1
"446","Chromista","Omnivora mutabilis",1
"447","Insecta","Harpalus fulvilabris",1
"448","Insecta","Proteinus pseudothomasi",1
"449","Insecta","Quedius fulvicollis",1
"450","Plantae","Sesleria autumnalis",1
"451","Actinopterygii","Selene vomer",1
"452","Chromista","Spirostomum caudatum",1
"453","Fungi","Sphaerulina betulae",1
"454","Plantae","Radula prolifera",1
"455","Mollusca","Tenellia adspersa",1
"456","Animalia","Portunus sayi",1
"457","Insecta","Caenocara oculatum",1
"458","Fungi","Leucogyrophana pseudomollusca",1
"459","Insecta","Colladonus collaris",1
"460","Fungi","Paraisaria gracilis",1
"461","Insecta","Formicoxenus provancheri",4
"462","Plantae","Corallorhiza wisteriana",1
"463","Mollusca","Heterogen japonica",2
"464","Mollusca","Phorcus lineatus",1
"465","Insecta","Scathophaga obscurinervis",1
"466","Insecta","Newsteadia americana",1
"467","Plantae","Erythranthe decora",1
"468","Fungi","Distoseptispora curvularia",1
"469","Arachnida","Wubana drassoides",3
"470","Plantae","Chroodactylon ornatum",1
"471","Insecta","Rabdophaga cephalanthi",1
"472","Insecta","Macrosiphum osmaroniae",2
"473","Fungi","Chalarodendron fuscum",1
"474","Insecta","Malachius mirandus",6
"475","Insecta","Platynus indecentis",1
"476","Chromista","Phaeoplaca thallosa",1
"477","Insecta","Chlaenius interruptus",1
"478","Insecta","Stenolophus limbalis",1
"479","Insecta","Neurigona albospinosa",1
"480","Arachnida","Xysticus californicus",1
"481","Plantae","Castilleja minor",4
"482","Insecta","Dolichopeza obscura",1
"483","Fungi","Lactarius barrowsii",1
"484","Insecta","Dasineura aceris",3
"485","Insecta","Ceratomia hageni",1
"486","Insecta","Auletobius congruus",1
"487","Animalia","Amblyosyllis anae",1
"488","Insecta","Lemellus bimaculatus",1
"489","Insecta","Pyrausta antisocialis",1
"490","Fungi","Septoria cerastii",1
"491","Plantae","Trillium albidum",1
"492","Animalia","Hypogastrura purpurescens",1
"493","Fungi","Erysiphe grossulariae",1
"494","Animalia","Plutomurus wilkeyi",2
"495","Insecta","Gnorimoschema salinaris",2
"496","Insecta","Aphthona czwalinae",1
"497","Plantae","Dysosma pleiantha",2
"498","Insecta","Zapada haysi",1
"499","Actinopterygii","Priacanthus arenatus",1
"500","Animalia","Xenylla humicola",7
"501","Fungi","Phyllactinia betulae",1
"502","Insecta","Paramblopusa borealis",1
"503","Insecta","Platypalpus xanthopodus",1
"504","Insecta","Hydrophorus breviseta",1
"505","Insecta","Gnatocerus cornutus",1
"506","Insecta","Pseudomethoca bequaerti",1
"507","Fungi","Dactylellina candidum",1
"508","Fungi","Atichia glomerulosa",1
"509","Arachnida","Metopobactrus pacificus",1
"510","Insecta","Pterostichus oregonus",1
"511","Protozoa","Heleopera sphagni",1
"512","Fungi","Hyalocamposporium acutum",1
"513","Plantae","Pseudocrossidium obtusulum",1
"514","Chromista","Gastronauta membranaceus",1
"515","Insecta","Sialis hamata",1
"516","Insecta","Amara coelebs",1
"517","Insecta","Calosima melanostriatella",1
"518","Insecta","Temnothorax nitens",2
"519","Insecta","Gnypeta brevicornis",1
"520","Insecta","Pella planifer",1
"521","Insecta","Torymus azureus",2
"522","Insecta","Dolichopus fucatus",1
"523","Animalia","Cerebratulus lineolatus",1
"524","Fungi","Endophragmiella oblonga",1
"525","Insecta","Actinocoris signatus",1
"526","Chromista","Trichodina pediculus",1
"527","Fungi","Ophiocordyceps stylophora",1
"528","Insecta","Mellinus bimaculatus",1
"529","Plantae","Juncus diffusissimus",1
"530","Insecta","Macropsis rufocephala",1
"531","Insecta","Spelobia bifrons",1
"532","Insecta","Satyrium curiosolus",12
"533","Plantae","Phacotus lenticularis",1
"534","Protozoa","Cucurbitella vlasinensis",2
"535","Insecta","Bryophacis canadensis",1
"536","Fungi","Trichoglossum confusum",1
"537","Mollusca","Haliphron atlanticus",2
"538","Insecta","Rutpela maculata",1
"539","Insecta","Graphocephala versuta",1
"540","Insecta","Colladonus mendicus",1
"541","Fungi","Golovinomyces echinopis",1
"542","Insecta","Ilybius verisimilis",1
"543","Aves","Anthus hodgsoni",1
"544","Protozoa","Awerintzewia cyclostoma",2
"545","Protozoa","Symphytocarpus amaurochaetoides",1
"546","Insecta","Acompocoris pygmaeus",1
"547","Plantae","Chlamydomonas epiphytica",1
"548","Arachnida","Ixodes auritulus",7
"549","Protozoa","Euglena sociabilis",1
"550","Chromista","Cystodinium bataviense",1
"551","Plantae","Poa leptocoma",2
"552","Fungi","Nephroma orvoi",1
"553","Animalia","Halimedusa typus",1
"554","Fungi","Tomentellopsis pulchella",1
"555","Mollusca","Nuculana tenuisulcata",1
"556","Chromista","Petroneis marina",1
"557","Insecta","Schistocerca nitens",1
"558","Insecta","Othius punctulatus",1
"559","Animalia","Hypogastrura perplexa",2
"560","Plantae","Viola calcarata",1
"561","Plantae","Lomelosia caucasica",1
"562","Insecta","Macrosteles borealis",1
"563","Animalia","Monocoryne colonialis",1
"564","Insecta","Andrena kalmiae",1
"565","Plantae","Gilia achilleifolia",2
"566","Chromista","Dinobryon suecicum",1
"567","Insecta","Formica spatulata",1
"568","Insecta","Thalasselephas testaceus",2
"569","Chromista","Hantzschia amphioxys",1
"570","Insecta","Gelis agilis",1
"571","Arachnida","Pachygnatha xanthostoma",1
"572","Fungi","Agaricus endoxanthus",1
"573","Mollusca","Heteroclidus punctatus",2
"574","Fungi","Helicodendron giganteum",1
"575","Insecta","Agonum crenistriatum",1
"576","Animalia","Ophelina acuminata",1
"577","Fungi","Taphrina bullata",1
"578","Fungi","Ochropsora dicentrae",1
"579","Insecta","Clinotanypus planus",1
"580","Plantae","Alyssum simplex",1
"581","Insecta","Tingis ampliata",1
"582","Insecta","Pseudomyrmex gracilis",1
"583","Plantae","Astragalus danicus",1
"584","Insecta","Poecilobrium chalybeum",1
"585","Insecta","Toumeyella liriodendri",1
"586","Insecta","Conocephalus nemoralis",1
"587","Animalia","Atylus carinatus",1
"588","Insecta","Trachymela sloanei",1
"589","Insecta","Atholus bimaculatus",1
"590","Animalia","Hypogastrura litoralis",1
"591","Arachnida","Gnaphosa californica",1
"592","Fungi","Dactylaria candidula",1
"593","Insecta","Lochmaea crataegi",2
"594","Insecta","Fitchia spinosula",1
"595","Animalia","Pseudosagitta lyra",2
"596","Chromista","Pseudokephyrion undulitissimum",1
"597","Fungi","Hygrophorus nemoreus",1
"598","Insecta","Illinoia maxima",1
"599","Insecta","Stratiomys laticeps",1
"600","Mollusca","Beringiana beringiana",1
"601","Fungi","Pseudolasiobolus minutissimus",2
"602","Insecta","Brychius pacificus",1
"603","Insecta","Myelaphus lobicornis",2
"604","Insecta","Leptogaster incisuralis",2
"605","Chromista","Discophrya elongata",1
"606","Plantae","Collomia tenella",1
"607","Insecta","Idiocerus herrichii",2
"608","Insecta","Brychius hornii",1
"609","Insecta","Microdon fulgens",1
"610","Fungi","Naiadolina flavomerulina",2
"611","Fungi","Sporoschisma hemipsilum",2
"612","Insecta","Boreus nix",2
"613","Insecta","Tachysphex semirufus",1
"614","Insecta","Thoracochaeta johnsoni",4
"615","Insecta","Helochares maculicollis",1
"616","Fungi","Russula chloroides",1
"617","Plantae","Salvia patens",1
"618","Plantae","Elatine brachysperma",5
"619","Plantae","Salvia viridis",1
"620","Plantae","Hesperocyparis arizonica",1
"621","Plantae","Cuphea hyssopifolia",1
"622","Insecta","Elathous californicus",1
"623","Fungi","Lasiobotrys lonicerae",1
"624","Insecta","Odontomachus ruginodis",1
"625","Arachnida","Iviella newfoundlandensis",1
"626","Insecta","Xylechinus americanus",1
"627","Plantae","Erigeron modestus",1
"628","Plantae","Grimmia mollis",1
"629","Insecta","Neobisnius senilis",1
"630","Animalia","Xenylla welchi",1
"631","Plantae","Magnolia grandiflora",1
"632","Chromista","Holophrya ovum",1
"633","Plantae","Nephrocytium limneticum",1
"634","Plantae","Persicaria puritanorum",1
"635","Insecta","Idiobates castaneus",1
"636","Insecta","Caenocara tenuipalpa",1
"637","Plantae","Stephanosphaera pluvialis",1
"638","Protozoa","Cucurbitella mespiliformis",1
"639","Fungi","Minutisphaera fimbriatispora",1
"640","Protozoa","Difflugia limnetica",1
"641","Animalia","Profilicollis botulus",1
"642","Insecta","Platynus angustatus",1
"643","Protozoa","Craterium roseum",1
"644","Fungi","Pseudoplectania episphagnum",1
"645","Plantae","Citrus trifoliata",1
"646","Animalia","Paranura colorata",3
"647","Insecta","Euura lucidae",1
"648","Plantae","Rubus arenicola",1
"649","Plantae","Campylium polygamum",1
"650","Fungi","Butyriboletus abieticola",1
"651","Insecta","Hebata alboneura",1
"652","Insecta","Cixidia brittoni",1
"653","Plantae","Cistus creticus",1
"654","Plantae","Hariotina reticulata",1
"655","Mollusca","Onchidiopsis glacialis",1
"656","Insecta","Gymnocarena tricolor",1
"657","Actinopterygii","Hypocritichthys analis",1
"658","Plantae","Monactinus sturmii",1
"659","Arachnida","Cyrtophora exanthematica",1
"660","Animalia","Scalibregma brevicauda",1
